Word,Count
thy,4030
thee,3173
lord,3052
king,2842
good,2794
sir,2739
enter,2098
love,2040
hath,1936
man,1829
'tis,1398
speak,1162
th',1147
duke,1071
time,1045
exeunt,1035
exit,984
heart,978
doth,939
queen,937
art,914
great,896
hear,871
lady,862
death,852
men,849
hand,838
life,829
father,829
scene,795
sweet,787
true,784
master,764
god,755
fair,751
ay,746
prince,741
pray,730
day,716
son,685
eyes,681
leave,651
blood,639
night,628
fear,624
poor,622
heaven,615
noble,611
hast,584
grace,575
gloucester,571
honour,568
stand,560
henry,554
brother,551
house,537
john,537
bear,533
peace,530
dead,525
france,524
caesar,520
head,511
gentleman,510
live,508
wife,508
madam,504
antony,504
word,495
richard,495
york,484
die,472
brutus,469
friends,463
lords,463
young,460
set,460
fool,458
hold,457
thine,451
long,444
dear,443
bring,443
falstaff,443
soul,436
friend,430
place,429
dost,428
stay,425
eye,417
face,416
servant,416
mistress,414
boy,410
daughter,409
warwick,407
faith,399
tongue,395
answer,380
thought,372
i',371
gentle,365
marry,362
iago,362
ere,359
ham,358
mind,356
mother,355
matter,354
o',354
hope,353
clown,350
farewell,349
sword,347
heard,345
nature,343
rest,343
bid,337
truth,329
meet,324
othello,324
lie,323
rome,323
woman,321
hands,318
edward,316
news,314
fortune,313
follow,308
power,307
timon,306
wilt,305
fellow,305
play,303
shame,302
earth,300
messenger,300
fall,299
hour,297
shalt,295
pardon,291
false,289
ye,289
gods,285
husband,284
honest,284
tears,283
macbeth,283
reason,281
fight,277
lay,276
youth,275
kind,275
ford,275
bed,269
turn,267
spirit,263
rosalind,263
england,263
cleopatra,262
light,261
break,257
body,256
send,256
crown,256
wit,255
sleep,255
swear,255
cousin,255
majesty,254
hot,254
lost,254
buckingham,254
prove,252
soldier,252
antonio,252
war,251
court,251
shallow,251
reenter,251
strange,250
arms,248
lies,245
left,245
suffolk,245
thoughts,244
letter,243
lucius,243
cassio,243
troilus,242
speed,240
fly,240
mad,239
villain,238
syracuse,238
justice,234
beat,234
father's,232
child,231
high,231
ill,230
tomorrow,230
business,230
valentine,230
lear,228
wrong,227
told,227
seek,227
mark,226
desdemona,226
bloody,224
cassius,224
french,223
dromio,223
sun,222
service,222
beseech,222
worthy,221
horse,220
alas,220
antipholus,219
foul,218
pity,217
proteus,217
desire,215
prithee,215
ne'er,213
care,213
sound,213
devil,213
gold,212
sit,212
titus,212
save,211
grief,211
coriolanus,211
gentlemen,210
royal,210
petruchio,210
angelo,209
lose,207
draw,207
breath,206
toby,206
purpose,205
land,205
bastard,205
worth,204
times,204
nurse,204
company,204
margaret,204
o'er,203
lives,202
clarence,202
beauty,201
happy,201
sea,201
general,201
soldiers,201
read,200
music,199
wear,199
talk,199
people,199
sight,198
loves,198
kill,198
charge,198
pompey,198
hector,197
age,196
brought,196
menenius,196
gracious,195
holy,195
uncle,195
berowne,195
cold,194
thyself,194
return,194
ho,194
late,193
helena,193
days,191
law,191
kent,191
ear,190
bardolph,190
joy,189
patience,189
tonight,189
ha,188
dog,188
sister,187
field,186
comfort,186
yea,186
remember,186
kiss,186
serve,186
citizen,186
virtue,185
watch,185
free,184
strong,184
pistol,184
work,183
air,183
didst,183
pandarus,183
is't,182
friar,182
praise,181
pleasure,179
sorrow,179
call'd,179
money,178
cressida,178
grave,177
wind,176
trust,175
bound,175
'a,175
portia,175
hate,174
years,174
parolles,174
warrant,174
claudio,174
anne,174
mercy,173
canst,172
hearts,172
sons,172
bolingbroke,172
ii,171
princess,171
captain,170
cut,170
doubt,170
command,170
sake,169
foot,169
maid,169
king's,168
merry,168
rich,167
'em,167
host,167
today,166
ephesus,166
heavy,165
born,165
hang,164
hell,164
english,164
weep,163
sick,163
orlando,163
imogen,163
rom,163
fault,162
hard,162
demetrius,162
wise,161
fit,161
brave,160
black,160
sad,160
worse,160
ground,160
palace,160
knave,160
'twas,159
achilles,159
isabella,159
man's,158
knew,158
ring,158
women,158
behold,157
haste,157
content,156
base,156
voice,156
enemy,156
change,155
stands,155
ears,155
pedro,155
coming,154
drink,154
revenge,154
strike,154
enobarbus,154
talbot,154
earl,153
methinks,152
straight,152
sin,152
fie,152
duty,151
common,151
fal,151
valiant,150
leontes,150
married,149
question,149
emilia,149
note,148
spoke,148
northumberland,148
open,147
lead,147
pass,147
deed,147
hark,147
oft,146
report,146
person,146
hastings,146
olivia,146
sirrah,145
oath,145
salisbury,145
door,144
cardinal,144
yield,143
iii,143
ready,143
eat,142
withal,142
somerset,142
julia,142
sovereign,141
suit,141
attendants,141
highness,141
presently,141
heavens,141
london,141
prospero,141
viola,141
point,140
sebastian,140
arm,140
sing,139
wherefore,139
liege,139
duchess,139
tranio,139
tender,138
country,138
marcus,138
marcius,138
sicinius,138
pay,137
grow,137
deep,136
lips,136
lov'd,136
bold,135
fare,135
hours,134
water,134
bertram,134
wars,134
met,134
signior,134
clifford,134
bene,134
flourish,133
lucio,133
romeo,133
deny,132
ladies,132
paris,132
apemantus,132
wouldst,131
sworn,131
flesh,130
counsel,130
caius,130
fast,129
guard,129
god's,129
spirits,128
city,128
knight,128
speaks,128
norfolk,128
fell,127
pale,127
office,127
letters,127
mouth,127
posthumus,127
white,126
moon,126
slave,126
speech,126
celia,126
lucentio,126
bosom,125
witness,125
woe,125
confess,125
town,125
write,124
glad,124
slain,124
morning,124
anon,124
sense,124
saint,124
ajax,124
charles,124
claud,124
thersites,124
camillo,124
sport,123
walk,123
'twere,123
traitor,123
malvolio,123
silvia,123
march,122
bad,122
fetch,122
roman,122
armado,122
countess,121
living,120
rage,120
conscience,120
iv,120
bassanio,120
leon,120
