year,state_code,candidate,votes
2020,AK,DONALD J TRUMP,189951
2020,AK,JOSEPH R BIDEN JR,153778
2020,AK,JO JORGENSEN,8897
2020,AK,OTHER,4943
2020,AL,DONALD J TRUMP,1441170
2020,AL,JOSEPH R BIDEN JR,849624
2020,AL,OTHER,32488
2020,AR,DONALD J TRUMP,760647
2020,AR,JOSEPH R BIDEN JR,423932
2020,AR,OTHER,21357
2020,AR,JO JORGENSEN,13133
2020,AZ,JOSEPH R BIDEN JR,1672143
2020,AZ,DONALD J TRUMP,1661686
2020,AZ,JO JORGENSEN,51465
2020,AZ,OTHER,0
2020,CA,JOSEPH R BIDEN JR,11110250
2020,CA,DONALD J TRUMP,6006429
2020,CA,OTHER,194043
2020,CA,JO JORGENSEN,187895
2020,CO,JOSEPH R BIDEN JR,1804352
2020,CO,DONALD J TRUMP,1364607
2020,CO,JO JORGENSEN,52460
2020,CO,OTHER,35561
2020,CT,JOSEPH R BIDEN JR,1080831
2020,CT,DONALD J TRUMP,714717
2020,CT,JO JORGENSEN,20230
2020,CT,OTHER,8079
2020,DC,JOSEPH R BIDEN JR,317323
2020,DC,DONALD J TRUMP,18586
2020,DC,OTHER,6411
2020,DC,JO JORGENSEN,2036
2020,DE,JOSEPH R BIDEN JR,296268
2020,DE,DONALD J TRUMP,200603
2020,DE,JO JORGENSEN,5000
2020,DE,OTHER,2139
2020,FL,DONALD J TRUMP,5668731
2020,FL,JOSEPH R BIDEN JR,5297045
2020,FL,JO JORGENSEN,70324
2020,FL,OTHER,31356
2020,GA,JOSEPH R BIDEN JR,2474507
2020,GA,DONALD J TRUMP,2461837
2020,GA,JO JORGENSEN,62138
2020,HI,JOSEPH R BIDEN JR,366127
2020,HI,DONALD J TRUMP,196855
2020,HI,OTHER,5936
2020,HI,JO JORGENSEN,5539
2020,IA,DONALD J TRUMP,902009
2020,IA,JOSEPH R BIDEN JR,759061
2020,IA,JO JORGENSEN,19637
2020,IA,OTHER,10164
2020,ID,DONALD J TRUMP,554119
2020,ID,JOSEPH R BIDEN JR,287021
2020,ID,JO JORGENSEN,16404
2020,ID,OTHER,9817
2020,IL,JOSEPH R BIDEN JR,3471915
2020,IL,DONALD J TRUMP,2446891
2020,IL,JO JORGENSEN,66544
2020,IL,OTHER,48394
2020,IN,DONALD J TRUMP,1729519
2020,IN,JOSEPH R BIDEN JR,1242416
2020,IN,JO JORGENSEN,59232
2020,IN,OTHER,1954
2020,KS,DONALD J TRUMP,771406
2020,KS,JOSEPH R BIDEN JR,570323
2020,KS,JO JORGENSEN,30574
2020,KY,DONALD J TRUMP,1326418
2020,KY,JOSEPH R BIDEN JR,772285
2020,KY,JO JORGENSEN,26217
2020,KY,OTHER,10076
2020,LA,DONALD J TRUMP,1255776
2020,LA,JOSEPH R BIDEN JR,856034
2020,LA,JO JORGENSEN,21645
2020,LA,OTHER,14607
2020,MA,JOSEPH R BIDEN JR,2382202
2020,MA,DONALD J TRUMP,1167202
2020,MA,OTHER,61588
2020,MA,JO JORGENSEN,47013
2020,MD,JOSEPH R BIDEN JR,1985023
2020,MD,DONALD J TRUMP,976414
2020,MD,OTHER,42106
2020,MD,JO JORGENSEN,33488
2020,ME,JOSEPH R BIDEN JR,430473
2020,ME,DONALD J TRUMP,359899
2020,ME,OTHER,18157
2020,ME,JO JORGENSEN,14005
2020,MI,JOSEPH R BIDEN JR,2804040
2020,MI,DONALD J TRUMP,2649852
2020,MI,JO JORGENSEN,60381
2020,MI,OTHER,25029
2020,MN,JOSEPH R BIDEN JR,1717077
2020,MN,DONALD J TRUMP,1484065
2020,MN,OTHER,41053
2020,MN,JO JORGENSEN,34976
2020,MO,DONALD J TRUMP,1718736
2020,MO,JOSEPH R BIDEN JR,1253014
2020,MO,JO JORGENSEN,41205
2020,MO,OTHER,13007
2020,MS,DONALD J TRUMP,756764
2020,MS,JOSEPH R BIDEN JR,539398
2020,MS,OTHER,9571
2020,MS,JO JORGENSEN,8026
2020,MT,DONALD J TRUMP,343602
2020,MT,JOSEPH R BIDEN JR,244786
2020,MT,JO JORGENSEN,15252
2020,NC,DONALD J TRUMP,2758773
2020,NC,JOSEPH R BIDEN JR,2684292
2020,NC,JO JORGENSEN,48678
2020,NC,OTHER,33059
2020,ND,DONALD J TRUMP,235595
2020,ND,JOSEPH R BIDEN JR,114902
2020,ND,JO JORGENSEN,9393
2020,ND,OTHER,1929
2020,NE,DONALD J TRUMP,556846
2020,NE,JOSEPH R BIDEN JR,374583
2020,NE,JO JORGENSEN,20283
2020,NH,JOSEPH R BIDEN JR,424937
2020,NH,DONALD J TRUMP,365660
2020,NH,JO JORGENSEN,13236
